series_name,series_code,underlying,asset_class,sub_asset_class,product_type,structure_type,market_segment,market_development,region,currency,term,tenor,source_default,bbg_field,bbg_data_type,mds_field,mds_data_type,bbg_ticker,mds_ticker,hawk_field,hawk_ticker,valid_from,valid_to,calculation_formula,des_notes,is_synthetic
PLN 2Y Interest Rate Swap,PLN2YSW_PX_LAST,PLN2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,PLN,Medium-term,2Y,BBG,PX_LAST,Rate,,,PZSW2 Curncy,,,,,,,Source sheet row 46.,False
CZK 2Y Interest Rate Swap,CZK2YSW_PX_LAST,CZK2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,CZK,Medium-term,2Y,BBG,PX_LAST,Rate,,,CKSW2 Curncy,,,,,,,Source sheet row 47.,False
HUF 2Y Interest Rate Swap,HUF2YSW_PX_LAST,HUF2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,HUF,Medium-term,2Y,BBG,PX_LAST,Rate,,,HFSW2 Curncy,,,,,,,Source sheet row 48.,False
ZAR 2Y Interest Rate Swap,ZAR2YSW_PX_LAST,ZAR2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Africa,ZAR,Medium-term,2Y,BBG,PX_LAST,Rate,,,SASW2 Curncy,,,,,,,Source sheet row 49.,False
TRY 2Y Interest Rate Swap,TRY2YSW_PX_LAST,TRY2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,TRY,Medium-term,2Y,BBG,PX_LAST,Rate,,,TYSW2V3 Curncy,,,,,,,Source sheet row 50.,False
RUB 2Y Interest Rate Swap,RUB2YSW_PX_LAST,RUB2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,RUB,Medium-term,2Y,BBG,PX_LAST,Rate,,,RRSWM2 Curncy,,,,,,,Source sheet row 51.,False
RON 2Y Interest Rate Swap,RON2YSW_PX_LAST,RON2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Europe,RON,Medium-term,2Y,BBG,PX_LAST,Rate,,,EURNSW2 CMPN Curncy,,,,,,,Source sheet row 52.,False
BRL 2Y Interest Rate Swap,BRL2YSW_PX_LAST,BRL2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Latin America,BRL,Medium-term,2Y,BBG,PX_LAST,Rate,,,S0388Z 2Y BLC2 Curncy,,,,,,,Source sheet row 115.,False
SGD 2Y Interest Rate Swap,SGD2YSW_PX_LAST,SGD2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,SGD,Medium-term,2Y,BBG,PX_LAST,Rate,,,SDSOA2 BGN Curncy,,,,,,,Source sheet row 125.,False
COP 2Y Interest Rate Swap,COP2YSW_PX_LAST,COP2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Latin America,COP,Medium-term,2Y,BBG,PX_LAST,Rate,,,CLSWIB2 BGN Curncy,,,,,,,Source sheet row 126.,False
PHP 2Y Interest Rate Swap,PHP2YSW_PX_LAST,PHP2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Asia Pacific,PHP,Medium-term,2Y,BBG,PX_LAST,Rate,,,PPUSNI2 CMPN Curncy,,,,,,,Source sheet row 127.,False
MXN 2Y Interest Rate Swap,MXN2YSW_PX_LAST,MXN2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Latin America,MXN,Medium-term,2Y,BBG,PX_LAST,Rate,,,MPSWF2B Curncy,,,,,,,Source sheet row 138.,False
ILS 2Y Interest Rate Swap,ILS2YSW_PX_LAST,ILS2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,EM,Middle East,ILS,Medium-term,2Y,BBG,PX_LAST,Rate,,,ISOIS2 Curncy,,,,,,,Source sheet row 139.,False
CNH 2Y Interest Rate Swap,CNH2YSW_PX_LAST,CNH2ysw,Fixed Income,Interest Rate Swap,Swap,Simple,Local,CHN,Asia Pacific,CNH,Medium-term,2Y,BBG,PX_LAST,Rate,,,CCSWNI2 BGN Curncy,,,,,,,Source sheet row 122.,False
EUR 3M Money Market Rate,EUR3M_PX_LAST,EUR3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Europe,EUR,Short-term,3M,BBG,PX_LAST,Rate,,,EUR003m index,,,,,,,Source sheet row 2.,False
CHF 3M Money Market Rate,CHF3M_PX_LAST,CHF3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Europe,CHF,Short-term,3M,BBG,PX_LAST,Rate,,,SFSNTC Curncy,,,,,,,Source sheet row 3.,False
SEK 3M Money Market Rate,SEK3M_PX_LAST,SEK3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Europe,SEK,Short-term,3M,BBG,PX_LAST,Rate,,,STIB3M index,,,,,,,Source sheet row 4.,False
AUD 3M Money Market Rate,AUD3M_PX_LAST,AUD3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Asia Pacific,AUD,Short-term,3M,BBG,PX_LAST,Rate,,,bbsw3m index,,,,,,,Source sheet row 5.,False
NZD 3M Money Market Rate,NZD3M_PX_LAST,NZD3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Asia Pacific,NZD,Short-term,3M,BBG,PX_LAST,Rate,,,NFIX3FRA Index,,,,,,,Source sheet row 6.,False
JPY 3M Money Market Rate,JPY3M_PX_LAST,JPY3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Asia Pacific,JPY,Short-term,3M,BBG,PX_LAST,Rate,,,JYSOC Curncy,,,,,,,Source sheet row 114.,False
USD 3M Money Market Rate,USD3M_PX_LAST,USD3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,North America,USD,Short-term,3M,BBG,PX_LAST,Rate,,,USOSFRC BGN Curncy,,,,,,,Source sheet row 128.,False
NOK 3M Money Market Rate,NOK3M_PX_LAST,NOK3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Europe,NOK,Short-term,3M,BBG,PX_LAST,Rate,,,NKS3M BGN Curncy,,,,,,,Source sheet row 132.,False
GBP 3M Money Market Rate,GBP3M_PX_LAST,GBP3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,Europe,GBP,Short-term,3M,BBG,PX_LAST,Rate,,,BPSWSC BGN Curncy,,,,,,,Source sheet row 133.,False
CAD 3M Money Market Rate,CAD3M_PX_LAST,CAD3m,Fixed Income,Money Market Rate,Money Market,Simple,Local,G10,North America,CAD,Short-term,3M,BBG,PX_LAST,Rate,,,GTCAD3M Govt,,,,,,,"Source sheet row 135. Ticker read from the Excel formula bar (cell A135), not from a visible sheet row.",False
EUR 10Y Sovereign Yield,EUR10Y_PX_LAST,EUR10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Europe,EUR,Long-term,10Y,BBG,PX_LAST,Rate,,,GECU10YR Index,,,,,,,Source sheet row 28.,False
USD 10Y Sovereign Yield,USD10Y_PX_LAST,USD10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,North America,USD,Long-term,10Y,BBG,PX_LAST,Rate,,,USGG10YR Index,,,,,,,Source sheet row 29.,False
JPY 10Y Sovereign Yield,JPY10Y_PX_LAST,JPY10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Asia Pacific,JPY,Long-term,10Y,BBG,PX_LAST,Rate,,,GJGB10 Index,,,,,,,Source sheet row 30.,False
CHF 10Y Sovereign Yield,CHF10Y_PX_LAST,CHF10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Europe,CHF,Long-term,10Y,BBG,PX_LAST,Rate,,,GSWISS10 Index,,,,,,,Source sheet row 31.,False
GBP 10Y Sovereign Yield,GBP10Y_PX_LAST,GBP10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Europe,GBP,Long-term,10Y,BBG,PX_LAST,Rate,,,GUKG10 Index,,,,,,,Source sheet row 32.,False
NOK 10Y Sovereign Yield,NOK10Y_PX_LAST,NOK10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Europe,NOK,Long-term,10Y,BBG,PX_LAST,Rate,,,GNOR10YR Index,,,,,,,Source sheet row 33.,False
SEK 10Y Sovereign Yield,SEK10Y_PX_LAST,SEK10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Europe,SEK,Long-term,10Y,BBG,PX_LAST,Rate,,,GSGB10YR Index,,,,,,,Source sheet row 34.,False
AUD 10Y Sovereign Yield,AUD10Y_PX_LAST,AUD10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Asia Pacific,AUD,Long-term,10Y,BBG,PX_LAST,Rate,,,GACGB10 Index,,,,,,,Source sheet row 35.,False
CAD 10Y Sovereign Yield,CAD10Y_PX_LAST,CAD10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,North America,CAD,Long-term,10Y,BBG,PX_LAST,Rate,,,GCAN10YR Index,,,,,,,Source sheet row 36.,False
NZD 10Y Sovereign Yield,NZD10Y_PX_LAST,NZD10y,Fixed Income,Sovereign Yield,Bond,Simple,Local,G10,Asia Pacific,NZD,Long-term,10Y,BBG,PX_LAST,Rate,,,GNZGB10 Index,,,,,,,Source sheet row 37.,False
Korea 5Y Sovereign CDS Premium,KRWCDS_PX_LAST,KRWCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,KRW,Medium-term,5Y,HAWK,,,,,,,PREM,KOREA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 140. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Thailand 5Y Sovereign CDS Premium,THBCDS_PX_LAST,THBCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,THB,Medium-term,5Y,HAWK,,,,,,,PREM,THAILAND.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 141. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Malaysia 5Y Sovereign CDS Premium,MYRCDS_PX_LAST,MYRCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,MYR,Medium-term,5Y,HAWK,,,,,,,PREM,MALAYSIA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 142. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Indonesia 5Y Sovereign CDS Premium,IDRCDS_PX_LAST,IDRCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Asia Pacific,IDR,Medium-term,5Y,HAWK,,,,,,,PREM,INDONESIA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 143. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
India 5Y Sovereign CDS Premium,INRCDS_PX_LAST,INRCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,South Asia,INR,Medium-term,5Y,HAWK,,,,,,,PREM,INDIA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 144. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Czech Republic 5Y Sovereign CDS Premium,CZKCDS_PX_LAST,CZKCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,CZK,Medium-term,5Y,HAWK,,,,,,,PREM,CZECH REPUBLIC.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 145. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Romania 5Y Sovereign CDS Premium,RONCDS_PX_LAST,RONCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,RON,Medium-term,5Y,HAWK,,,,,,,PREM,ROMANIA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 146. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Israel 5Y Sovereign CDS Premium,ILSCDS_PX_LAST,ILSCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Middle East,ILS,Medium-term,5Y,HAWK,,,,,,,PREM,ISRAEL.FULL.EUR.SEN.5Y.PREM,,,,"Source sheet row 147. Denominated in EUR. NOTE: EUR-denominated, unlike the other 11 which are USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.",False
South Africa 5Y Sovereign CDS Premium,ZARCDS_PX_LAST,ZARCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Africa,ZAR,Medium-term,5Y,HAWK,,,,,,,PREM,SOUTH AFRICA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 148. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Russia 5Y Sovereign CDS Premium,RUBCDS_PX_LAST,RUBCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,RUB,Medium-term,5Y,HAWK,,,,,,,PREM,RUSSIA.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 149. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Poland 5Y Sovereign CDS Premium,PLNCDS_PX_LAST,PLNCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,PLN,Medium-term,5Y,HAWK,,,,,,,PREM,POLAND.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 150. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
Hungary 5Y Sovereign CDS Premium,HUFCDS_PX_LAST,HUFCDS,Credit,Sovereign CDS,CDS,Complex,Local,EM,Europe,HUF,Medium-term,5Y,HAWK,,,,,,,PREM,HUNGARY.FULL.USD.SEN.5Y.PREM,,,,Source sheet row 151. Denominated in USD. Entity prefix RECONSTRUCTED -- the source screenshot truncates the ticker's left edge; only '.FULL.<CCY>.SEN.5Y.PREM' was legible. VERIFY the full string before ingest.,False
MSCI EUR Local Equity Index,EURMSCI_PX_LAST,EURmsci,Equity,Equity Index,Index,Simple,Local,G10,Europe,EUR,,,BBG,PX_LAST,Index,,,MSER Index,,,,,,,"Source sheet row 15. MSER = MSCI Europe ex UK, not a euro-area-only index. Definitional difference from the other MX** country indices.",False
MSCI USD Local Equity Index,USDMSCI_PX_LAST,USDmsci,Equity,Equity Index,Index,Simple,Local,G10,North America,USD,,,BBG,PX_LAST,Index,,,MXUS Index,,,,,,,Source sheet row 16.,False
MSCI JPY Local Equity Index,JPYMSCI_PX_LAST,JPYmsci,Equity,Equity Index,Index,Simple,Local,G10,Asia Pacific,JPY,,,BBG,PX_LAST,Index,,,MXJP Index,,,,,,,Source sheet row 17.,False
MSCI CHF Local Equity Index,CHFMSCI_PX_LAST,CHFmsci,Equity,Equity Index,Index,Simple,Local,G10,Europe,CHF,,,BBG,PX_LAST,Index,,,MXCH Index,,,,,,,Source sheet row 18.,False
MSCI GBP Local Equity Index,GBPMSCI_PX_LAST,GBPmsci,Equity,Equity Index,Index,Simple,Local,G10,Europe,GBP,,,BBG,PX_LAST,Index,,,MXGB Index,,,,,,,Source sheet row 19.,False
MSCI NOK Local Equity Index,NOKMSCI_PX_LAST,NOKmsci,Equity,Equity Index,Index,Simple,Local,G10,Europe,NOK,,,BBG,PX_LAST,Index,,,MXNO Index,,,,,,,Source sheet row 20.,False
MSCI SEK Local Equity Index,SEKMSCI_PX_LAST,SEKmsci,Equity,Equity Index,Index,Simple,Local,G10,Europe,SEK,,,BBG,PX_LAST,Index,,,MXSE Index,,,,,,,Source sheet row 21.,False
MSCI AUD Local Equity Index,AUDMSCI_PX_LAST,AUDmsci,Equity,Equity Index,Index,Simple,Local,G10,Asia Pacific,AUD,,,BBG,PX_LAST,Index,,,MXAU Index,,,,,,,Source sheet row 22.,False
MSCI CAD Local Equity Index,CADMSCI_PX_LAST,CADmsci,Equity,Equity Index,Index,Simple,Local,G10,North America,CAD,,,BBG,PX_LAST,Index,,,MXCA Index,,,,,,,Source sheet row 23.,False
MSCI NZD Local Equity Index,NZDMSCI_PX_LAST,NZDmsci,Equity,Equity Index,Index,Simple,Local,G10,Asia Pacific,NZD,,,BBG,PX_LAST,Index,,,MXNZ Index,,,,,,,Source sheet row 24.,False
MSCI KRW Local Equity Index,KRWMSCI_PX_LAST,KRWmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,KRW,,,BBG,PX_LAST,Index,,,MXKR Index,,,,,,,Source sheet row 53.,False
MSCI THB Local Equity Index,THBMSCI_PX_LAST,THBmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,THB,,,BBG,PX_LAST,Index,,,MXTH Index,,,,,,,Source sheet row 54.,False
MSCI MYR Local Equity Index,MYRMSCI_PX_LAST,MYRmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,MYR,,,BBG,PX_LAST,Index,,,MXMY Index,,,,,,,Source sheet row 55.,False
MSCI IDR Local Equity Index,IDRMSCI_PX_LAST,IDRmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,IDR,,,BBG,PX_LAST,Index,,,MXID Index,,,,,,,Source sheet row 56.,False
MSCI INR Local Equity Index,INRMSCI_PX_LAST,INRmsci,Equity,Equity Index,Index,Simple,Local,EM,South Asia,INR,,,BBG,PX_LAST,Index,,,MXIN Index,,,,,,,Source sheet row 57.,False
MSCI SGD Local Equity Index,SGDMSCI_PX_LAST,SGDmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,SGD,,,BBG,PX_LAST,Index,,,MXSG Index,,,,,,,Source sheet row 58.,False
MSCI PHP Local Equity Index,PHPMSCI_PX_LAST,PHPmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,PHP,,,BBG,PX_LAST,Index,,,MXPH Index,,,,,,,Source sheet row 59.,False
MSCI TWD Local Equity Index,TWDMSCI_PX_LAST,TWDmsci,Equity,Equity Index,Index,Simple,Local,EM,Asia Pacific,TWD,,,BBG,PX_LAST,Index,,,MXTW Index,,,,,,,Source sheet row 60.,False
MSCI BRL Local Equity Index,BRLMSCI_PX_LAST,BRLmsci,Equity,Equity Index,Index,Simple,Local,EM,Latin America,BRL,,,BBG,PX_LAST,Index,,,MXBR Index,,,,,,,Source sheet row 61.,False
MSCI CLP Local Equity Index,CLPMSCI_PX_LAST,CLPmsci,Equity,Equity Index,Index,Simple,Local,EM,Latin America,CLP,,,BBG,PX_LAST,Index,,,MXCL Index,,,,,,,Source sheet row 62.,False
MSCI MXN Local Equity Index,MXNMSCI_PX_LAST,MXNmsci,Equity,Equity Index,Index,Simple,Local,EM,Latin America,MXN,,,BBG,PX_LAST,Index,,,MXMX Index,,,,,,,Source sheet row 63.,False
MSCI COP Local Equity Index,COPMSCI_PX_LAST,COPmsci,Equity,Equity Index,Index,Simple,Local,EM,Latin America,COP,,,BBG,PX_LAST,Index,,,MXCO Index,,,,,,,Source sheet row 64.,False
MSCI PEN Local Equity Index,PENMSCI_PX_LAST,PENmsci,Equity,Equity Index,Index,Simple,Local,EM,Latin America,PEN,,,BBG,PX_LAST,Index,,,MXPE Index,,,,,,,Source sheet row 65.,False
CSI 300 China Local Equity Index (live),CNHLIVEMSCI_PX_LAST,CNHlivemsci,Equity,Equity Index,Index,Simple,Local,CHN,Asia Pacific,CNH,,,BBG,PX_LAST,Index,,,SHSZ300 Index,,,,,,,Source sheet row 111. Intraday/live vintage of the China local equity driver.,False
MSCI World Index,MXWO_PX_LAST,MXWO,Equity,Equity Index,Index,Simple,Global,GLOBAL,GLOBAL,USD,,,BBG,PX_LAST,Index,,,MXWO Index,,,,,,,Source sheet row 25. Source sheet region 'DM EM China' -- single global benchmark applied identically to every pair in every universe.,False
MSCI World Index (live),MXWOLIVE_PX_LAST,MXWOlive,Equity,Equity Index,Index,Simple,Global,GLOBAL,GLOBAL,USD,,,BBG,PX_LAST,Index,,,ZWPA Index,,,,,,,Source sheet row 112. Source sheet region 'DM EM China'. Intraday/live vintage of MXWO -- do not regress on both MXWO and MXWOlive in the same specification.,False
Brent Crude Oil,BRENT_PX_LAST,BRENT,Commodity,Crude Oil,Futures,Simple,Global,GLOBAL,GLOBAL,USD,,,BBG,PX_LAST,Price,,,Co2 Comdty,,,,,,,Source sheet row 26. Source sheet region 'DM EM' -- not tagged for China.,False
WTI Crude Oil,WTI_PX_LAST,WTI,Commodity,Crude Oil,Futures,Simple,Global,GLOBAL,GLOBAL,USD,,,BBG,PX_LAST,Price,,,CL2 Comdty,,,,,,,Source sheet row 27. Source sheet region 'DM EM' -- not tagged for China.,False
Coal Benchmark,COAL_PX_LAST,COAL,Commodity,Coal,Futures,Simple,Global,EM,GLOBAL,USD,,,BBG,PX_LAST,Price,,,XW2 Comdty,,,,,,,Source sheet row 129.,False
Steel Benchmark (HRC),STEEL_PX_LAST,STEEL,Commodity,Steel,Futures,Simple,Global,EM,GLOBAL,USD,,,BBG,PX_LAST,Price,,,HRC1 Comdty,,,,,,,Source sheet row 130.,False
Iron Ore Benchmark,IRON_PX_LAST,IRON,Commodity,Iron Ore,Futures,Simple,Global,EM,GLOBAL,USD,,,BBG,PX_LAST,Price,,,ISIX62IU Index,,,,,,,Source sheet row 131.,False
Orange Juice Index,ORANGE_JUICE_PX_LAST,ORANGE_JUICE,Commodity,Softs,Index,Simple,Global,EM,GLOBAL,USD,,,Macrobond,,,,,,,,,,,,Source sheet row 152. Source sheet has ticker 'Orange Juice' / underlying 'Orange Juice Index' -- the reverse of every other row. Underlying normalised to ORANGE_JUICE to match the bare-name convention of BRENT/WTI/COAL/STEEL/IRON. No vendor ticker available.,False
Cocoa Index,COCOA_PX_LAST,COCOA,Commodity,Softs,Index,Simple,Global,EM,GLOBAL,USD,,,Macrobond,,,,,,,,,,,,Source sheet row 153. Underlying normalised from 'Cocoa Index'. No vendor ticker available.,False
Coffee Index,COFFEE_PX_LAST,COFFEE,Commodity,Softs,Index,Simple,Global,EM,GLOBAL,USD,,,Macrobond,,,,,,,,,,,,Source sheet row 154. Underlying normalised from 'Coffee Index'. No vendor ticker available.,False
